ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Dias_Resfriando_Consecutivos,Alerta_Resfriamento,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,59,Vazio,2025-06-26,UPC-Mata Verde,Vazio,1,,0,,True,1,,False,False
4972ccd1,59,Carregado,2025-06-27,UPC-Mata Verde,Carregado,0,,0,,True,2,Vazio,True,False
898e6bc9,59,Carbonizando,2025-06-28,UPC-Mata Verde,Carbonizando,0,,0,,True,3,Carregado,False,False
b4ffefe1,59,Carbonizando,2025-06-29,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
72b1b184,59,Resfriando,2025-06-30,UPC-Mata Verde,Resfriando,0,,1,,True,4,Carbonizando,False,False
d1504412,59,Resfriando,2025-07-01,UPC-Mata Verde,Resfriando,0,,2,,False,4,Resfriando,False,False
c7b7c7a1,59,Resfriando,2025-07-02,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,4,Resfriando,False,False
10028816,59,Descarregado,2025-07-03,UPC-Mata Verde,Descarregado,0,,0,,True,5,Resfriando,False,True
19d466c7,59,Vazio,2025-07-04,UPC-Mata Verde,Vazio,1,,0,,True,6,Descarregado,False,False
f5dfdf63,59,Vazio,2025-07-05,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,6,Vazio,False,False
496d261d,59,Vazio,2025-07-06,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,0,,False,6,Vazio,False,False
49deb4f6,59,Vazio,2025-07-07,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,0,,False,6,Vazio,False,False
4facd70b,59,Vazio,2025-07-08,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,0,,False,6,Vazio,False,False
1f3876bc,59,Vazio,2025-07-09,UPC-Mata Verde,Vazio,6,Forno vazio há 6 dias consecutivos!,0,,False,6,Vazio,False,False
a667de14,59,Vazio,2025-07-10,UPC-Mata Verde,Vazio,7,Forno vazio há 7 dias consecutivos!,0,,False,6,Vazio,False,False
9140ecb7,59,Carbonizando,2025-07-11,UPC-Mata Verde,Carbonizando,0,,0,,True,7,Vazio,True,False
836f3310,59,Carbonizando,2025-07-12,UPC-Mata Verde,Carbonizando,0,,0,,False,7,Carbonizando,False,False
6f32cffb,59,Carbonizando,2025-07-13,UPC-Mata Verde,Carbonizando,0,,0,,False,7,Carbonizando,False,False
ca705202,59,Carbonizando,2025-07-14,UPC-Mata Verde,Carbonizando,0,,0,,False,7,Carbonizando,False,False
e2d0c89d,59,Resfriando,2025-07-15,UPC-Mata Verde,Resfriando,0,,1,,True,8,Carbonizando,False,False
1ed85af1,59,Descarregado,2025-07-16,UPC-Mata Verde,Descarregado,0,,0,,True,9,Resfriando,False,True
4f0c3deb,59,Descarregado,2025-07-17,UPC-Mata Verde,Vazio,1,,0,,True,10,Descarregado,False,False
fc2482a1,59,Vazio,2025-07-18,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,10,Vazio,False,False
b06275b4,59,Vazio,2025-07-19,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,0,,False,10,Vazio,False,False
aa02211a,59,Carregado,2025-07-20,UPC-Mata Verde,Carregado,0,,0,,True,11,Vazio,True,False
a0530255,59,Carbonizando,2025-07-21,UPC-Mata Verde,Carbonizando,0,,0,,True,12,Carregado,False,False
