ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco
e876c21a,50,Caído,2025-06-26,UPC-Mata Verde,Caído,0,,True,1
4972ccd1,50,Caído,2025-06-27,UPC-Mata Verde,Caído,0,,False,1
898e6bc9,50,Caído,2025-06-28,UPC-Mata Verde,Caído,0,,False,1
b4ffefe1,50,Caído,2025-06-29,UPC-Mata Verde,Caído,0,,False,1
72b1b184,50,Caído,2025-06-30,UPC-Mata Verde,Caído,0,,False,1
d1504412,50,Caído,2025-07-01,UPC-Mata Verde,Caído,0,,False,1
c7b7c7a1,50,Vazio,2025-07-02,UPC-Mata Verde,Vazio,1,,True,2
10028816,50,Vazio,2025-07-03,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,2
19d466c7,50,Vazio,2025-07-04,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,2
f5dfdf63,50,Vazio,2025-07-05,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,False,2
496d261d,50,Vazio,2025-07-06,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,False,2
49deb4f6,50,Vazio,2025-07-07,UPC-Mata Verde,Vazio,6,Forno vazio há 6 dias consecutivos!,False,2
